team,epa_off_per_play,total_epa_off,success_rate_off,epa_pass_off,epa_rush_off,source_off,epa_def_allowed_per_play,total_epa_def_allowed,success_rate_def,epa_pass_def_allowed,epa_rush_def_allowed,source_def,team_name,net_epa_per_play,net_epa_pass,net_epa_rush,last_updated,source
ARI,0.0,0.63,0.4104,0.04,-0.07,sumersports_offensive_latest,0.02,7.09,0.4621,0.07,-0.08,sumersports_defensive_latest,Cardinals,-0.02,-0.030000000000000006,0.009999999999999995,2025-10-23 20:55:18.427684,sumersports_latest_combined
ATL,-0.02,-9.69,0.4359,-0.05,0.01,sumersports_offensive_latest,-0.05,-17.44,0.4451,-0.11,0.02,sumersports_defensive_latest,Falcons,0.030000000000000002,0.06,-0.01,2025-10-23 20:55:18.427684,sumersports_latest_combined
BAL,-0.03,-11.18,0.4277,-0.04,-0.02,sumersports_offensive_latest,0.15,58.62,0.4864,0.19,0.08,sumersports_defensive_latest,Ravens,-0.18,-0.23,-0.1,2025-10-23 20:55:18.427684,sumersports_latest_combined
BUF,0.13,49.36,0.4841,0.15,0.09,sumersports_offensive_latest,0.03,11.14,0.43729999999999997,-0.02,0.09,sumersports_defensive_latest,Bills,0.1,0.16999999999999998,0.0,2025-10-23 20:55:18.427684,sumersports_latest_combined
CAR,-0.01,-5.56,0.45299999999999996,-0.06,0.05,sumersports_offensive_latest,0.02,8.17,0.3862,0.08,-0.07,sumersports_defensive_latest,Panthers,-0.03,-0.14,0.12000000000000001,2025-10-23 20:55:18.427684,sumersports_latest_combined
CHI,0.02,7.54,0.4305,0.08,-0.05,sumersports_offensive_latest,-0.05,-18.6,0.4661,-0.03,-0.09,sumersports_defensive_latest,Bears,0.07,0.11,0.039999999999999994,2025-10-23 20:55:18.427684,sumersports_latest_combined
CIN,-0.1,-39.27,0.419,-0.13,-0.04,sumersports_offensive_latest,0.15,68.33,0.49340000000000006,0.22,0.06,sumersports_defensive_latest,Bengals,-0.25,-0.35,-0.1,2025-10-23 20:55:18.427684,sumersports_latest_combined
CLE,-0.16,-74.76,0.34130000000000005,-0.24,-0.03,sumersports_offensive_latest,-0.08,-33.21,0.3747,0.01,-0.2,sumersports_defensive_latest,Browns,-0.08,-0.25,0.17,2025-10-23 20:55:18.427684,sumersports_latest_combined
DAL,0.15,67.67,0.4586,0.24,0.0,sumersports_offensive_latest,0.13,59.29,0.4914,0.16,0.08,sumersports_defensive_latest,Cowboys,0.01999999999999999,0.07999999999999999,-0.08,2025-10-23 20:55:18.427684,sumersports_latest_combined
DEN,0.04,15.97,0.41009999999999996,0.04,0.02,sumersports_offensive_latest,-0.1,-40.64,0.3568,-0.1,-0.09,sumersports_defensive_latest,Broncos,0.14,0.14,0.11,2025-10-23 20:55:18.427684,sumersports_latest_combined
DET,0.1,43.96,0.4717,0.23,-0.03,sumersports_offensive_latest,-0.1,-41.33,0.3942,-0.08,-0.13,sumersports_defensive_latest,Lions,0.2,0.31,0.1,2025-10-23 20:55:18.427684,sumersports_latest_combined
GB,0.16,49.7,0.4839,0.03,0.128,sumersports_detailed_offensive,0.02,4.81,0.4241,-0.06,0.016,sumersports_detailed_defensive,Packers,0.14,0.09,0.112,2025-10-15 23:54:16.194054,sumersports_detailed_combined
HOU,-0.03,-9.53,0.40880000000000005,-0.02,-0.03,sumersports_offensive_latest,-0.14,-49.16,0.39659999999999995,-0.23,-0.02,sumersports_defensive_latest,Texans,0.11000000000000001,0.21000000000000002,-0.009999999999999998,2025-10-23 20:55:18.427684,sumersports_latest_combined
IND,0.21,87.02,0.506,0.26,0.13,sumersports_offensive_latest,-0.03,-12.09,0.4707,-0.02,-0.04,sumersports_defensive_latest,Colts,0.24,0.28,0.17,2025-10-23 20:55:18.427684,sumersports_latest_combined
JAX,-0.01,-3.0,0.43450000000000005,-0.04,0.05,sumersports_offensive_latest,-0.04,-17.12,0.4239,-0.02,-0.06,sumersports_defensive_latest,Jaguars,0.03,-0.02,0.11,2025-10-23 20:55:18.427684,sumersports_latest_combined
KC,0.16,72.12,0.49119999999999997,0.2,0.07,sumersports_offensive_latest,-0.04,-16.22,0.43939999999999996,-0.08,0.01,sumersports_defensive_latest,Chiefs,0.2,0.28,0.060000000000000005,2025-10-23 20:55:18.427684,sumersports_latest_combined
LA,0.04,18.07,0.4732,0.18,-0.16,sumersports_offensive_latest,-0.1,-44.84,0.41950000000000004,-0.12,-0.04,sumersports_defensive_latest,Rams,0.14,0.3,-0.12,2025-10-23 20:55:18.427684,sumersports_latest_combined
LAC,0.01,2.36,0.4386,0.01,-0.01,sumersports_offensive_latest,0.04,14.49,0.4254,0.0,0.08,sumersports_defensive_latest,Chargers,-0.03,0.01,-0.09,2025-10-23 20:55:18.427684,sumersports_latest_combined
LV,-0.18,-70.75,0.39189999999999997,-0.12,-0.26,sumersports_offensive_latest,0.04,15.5,0.447,0.15,-0.13,sumersports_defensive_latest,Raiders,-0.22,-0.27,-0.13,2025-10-23 20:55:18.427684,sumersports_latest_combined
MIA,-0.04,-15.55,0.38789999999999997,-0.05,-0.02,sumersports_offensive_latest,0.17,69.73,0.47740000000000005,0.22,0.09,sumersports_defensive_latest,Dolphins,-0.21000000000000002,-0.27,-0.11,2025-10-23 20:55:18.427684,sumersports_latest_combined
MIN,-0.07,-24.52,0.4618,-0.05,-0.1,sumersports_offensive_latest,-0.08,-29.16,0.40630000000000005,-0.16,0.0,sumersports_defensive_latest,Vikings,0.009999999999999995,0.11,-0.1,2025-10-23 20:55:18.427684,sumersports_latest_combined
NE,0.08,28.92,0.4465999999999999,-0.17,0.064,sumersports_detailed_offensive,0.04,12.71,0.4735,-0.13,0.032,sumersports_detailed_defensive,Patriots,0.04,-0.04,0.032,2025-10-15 23:54:16.194054,sumersports_detailed_combined
NO,-0.05,-21.07,0.4349,-0.03,-0.04,sumersports_detailed_offensive,0.01,3.8,0.4484,-0.11,0.008,sumersports_detailed_defensive,Saints,-0.06,0.08,-0.048,2025-10-15 23:54:16.194054,sumersports_detailed_combined
NYG,-0.05,-25.03,0.4082,-0.07,-0.03,sumersports_offensive_latest,0.04,20.65,0.4473,0.0,0.11,sumersports_defensive_latest,Giants,-0.09,-0.07,-0.14,2025-10-23 20:55:18.427684,sumersports_latest_combined
NYJ,-0.1,-42.7,0.42,-0.1,-0.08,sumersports_offensive_latest,0.07,31.1,0.3944,0.17,-0.03,sumersports_defensive_latest,Jets,-0.17,-0.27,-0.05,2025-10-23 20:55:18.427684,sumersports_latest_combined
PHI,0.02,9.4,0.4214,0.05,-0.02,sumersports_offensive_latest,-0.02,-9.54,0.4545,-0.04,0.0,sumersports_defensive_latest,Eagles,0.04,0.09,-0.02,2025-10-23 20:55:18.427684,sumersports_latest_combined
PIT,0.08,27.39,0.4404,0.15,-0.01,sumersports_offensive_latest,0.04,17.8,0.4495,0.07,-0.01,sumersports_defensive_latest,Steelers,0.04,0.07999999999999999,0.0,2025-10-23 20:55:18.427684,sumersports_latest_combined
SEA,0.01,5.82,0.43729999999999997,0.18,-0.16,sumersports_offensive_latest,-0.04,-18.11,0.40869999999999995,0.04,-0.19,sumersports_defensive_latest,Seahawks,0.05,0.13999999999999999,0.03,2025-10-23 20:55:18.427684,sumersports_latest_combined
SF,0.01,3.1,0.47609999999999997,0.09,-0.12,sumersports_offensive_latest,-0.01,-3.34,0.46409999999999996,0.03,-0.07,sumersports_defensive_latest,49ers,0.02,0.06,-0.04999999999999999,2025-10-23 20:55:18.427684,sumersports_latest_combined
TB,0.04,17.59,0.4194,0.06,0.0,sumersports_offensive_latest,-0.01,-5.55,0.4387,0.03,-0.07,sumersports_defensive_latest,Buccaneers,0.05,0.03,0.07,2025-10-23 20:55:18.427684,sumersports_latest_combined
TEN,-0.23,-94.53,0.3753,-0.27,-0.15,sumersports_offensive_latest,0.07,28.79,0.4296,0.15,-0.03,sumersports_defensive_latest,Titans,-0.30000000000000004,-0.42000000000000004,-0.12,2025-10-23 20:55:18.427684,sumersports_latest_combined
