week,date,away_team,home_team,final_score,away_score,home_score,passing_leader,passing_yards,rushing_leader,rushing_yards,receiving_leader,receiving_yards
4,Thursday September 25 2025,Seahawks,Cardinals,SEA 23 ARI 20,23,20,Sam Darnold,242,Kenneth Walker III,81,Jaxon Smith-Njigba,79
4,Sunday September 28 2025,Vikings,Steelers,PIT 24 MIN 21,21,24,Carson Wentz,350,Kenneth Gainwell,99,DK Metcalf,126
4,Sunday September 28 2025,Commanders,Falcons,ATL 34 WSH 27,27,34,Michael Penix Jr.,313,Bijan Robinson,75,Drake London,110
4,Sunday September 28 2025,Saints,Bills,BUF 31 NO 19,19,31,Josh Allen,209,James Cook III,117,Khalil Shakir,69
4,Sunday September 28 2025,Browns,Lions,DET 34 CLE 10,10,34,Joe Flacco,184,Jahmyr Gibbs,91,Amon-Ra St. Brown,70
4,Sunday September 28 2025,Panthers,Patriots,NE 42 CAR 13,13,42,Drake Maye,203,Chuba Hubbard,49,Stefon Diggs,101
4,Sunday September 28 2025,Chargers,Giants,NYG 21 LAC 18,18,21,Justin Herbert,203,Omarion Hampton,128,Quentin Johnston,98
4,Sunday September 28 2025,Eagles,Buccaneers,PHI 31 TB 25,31,25,Baker Mayfield,289,Bucky Irving,63,Bucky Irving,102
4,Sunday September 28 2025,Titans,Texans,HOU 26 TEN 0,0,26,C.J. Stroud,233,Woody Marks,69,Nico Collins,79
4,Sunday September 28 2025,Colts,Rams,LAR 27 IND 20,20,27,Matthew Stafford,375,Kyren Williams,77,Puka Nacua,170
4,Sunday September 28 2025,Jaguars,49ers,JAX 26 SF 21,26,21,Brock Purdy,309,Travis Etienne Jr.,124,Christian McCaffrey,92
4,Sunday September 28 2025,Ravens,Chiefs,KC 37 BAL 20,20,37,Patrick Mahomes,270,Justice Hill,76,Xavier Worthy,83
4,Sunday September 28 2025,Bears,Raiders,CHI 25 LV 24,25,24,Caleb Williams,212,Ashton Jeanty,138,Rome Odunze,69
4,Sunday September 28 2025,Packers,Cowboys,GB 40 DAL 40,40,40,Jordan Love,337,Josh Jacobs,86,George Pickens,134
4,Monday September 29 2025,Jets,Dolphins,MIA 27 NYJ 21,21,27,Justin Fields,226,De'Von Achane,99,Garrett Wilson,82
4,Monday September 29 2025,Bengals,Broncos,DEN 28 CIN 3,3,28,Bo Nix,326,J.K. Dobbins,101,Courtland Sutton,81
