game,final_score,away_score,home_score,favorite,underdog,spread,favorite_score,underdog_score,margin,underdog_covered
Eagles @ Giants,NYG 34 - PHI 17,17,34,Eagles,Giants,7.5,17,34,-17,True
Broncos @ Jets,DEN 13 - NYJ 11,13,11,Broncos,Jets,7.5,13,11,2,True
Cardinals @ Colts,IND 31 - ARI 27,27,31,Colts,Cardinals,6.5,31,27,4,True
Chargers @ Dolphins,LAC 29 - MIA 27,29,27,Chargers,Dolphins,4.5,29,27,2,True
Patriots @ Saints,NE 25 - NO 19,25,19,Patriots,Saints,3.5,25,19,6,False
Browns @ Steelers,PIT 23 - CLE 9,9,23,Steelers,Browns,5.0,23,9,14,False
Cowboys @ Panthers,CAR 30 - DAL 27,27,30,Cowboys,Panthers,3.5,27,30,-3,True
Seahawks @ Jaguars,SEA 20 - JAX 12,20,12,Seahawks,Jaguars,1.5,20,12,8,False
Rams @ Ravens,LAR 17 - BAL 3,17,3,Rams,Ravens,7.5,17,3,14,False
Titans @ Raiders,LV 20 - TEN 10,10,20,Raiders,Titans,4.5,20,10,10,False
Bengals @ Packers,GB 27 - CIN 18,18,27,Packers,Bengals,14.5,27,18,9,True
49ers @ Buccaneers,TB 30 - SF 19,19,30,49ers,Buccaneers,3.0,19,30,-11,True
Lions @ Chiefs,KC 30 - DET 17,17,30,Chiefs,Lions,2.5,30,17,13,False
Bills @ Falcons,ATL 24 - BUF 14,14,24,Bills,Falcons,4.5,14,24,-10,True
Bears @ Commanders,CHI 25 - WSH 24,25,24,Commanders,Bears,4.5,24,25,-1,True
